col_type,col_name
s,id
c,home_team_abbr
c,away_team_abbr
s,date
c,is_night_game
t,home_team_win
c,home_pitcher
c,away_pitcher
i,home_team_rest
i,away_team_rest
i,home_pitcher_rest
i,away_pitcher_rest
s,season
i,home_batting_batting_avg_10RA
i,home_batting_onbase_perc_10RA
i,home_batting_onbase_plus_slugging_10RA
i,home_batting_leverage_index_avg_10RA
i,home_batting_RBI_10RA
i,away_batting_batting_avg_10RA
i,away_batting_onbase_perc_10RA
i,away_batting_onbase_plus_slugging_10RA
i,away_batting_leverage_index_avg_10RA
i,away_batting_RBI_10RA
i,home_pitching_earned_run_avg_10RA
i,home_pitching_SO_batters_faced_10RA
i,home_pitching_H_batters_faced_10RA
i,home_pitching_BB_batters_faced_10RA
i,away_pitching_earned_run_avg_10RA
i,away_pitching_SO_batters_faced_10RA
i,away_pitching_H_batters_faced_10RA
i,away_pitching_BB_batters_faced_10RA
i,home_pitcher_earned_run_avg_10RA
i,home_pitcher_SO_batters_faced_10RA
i,home_pitcher_H_batters_faced_10RA
i,home_pitcher_BB_batters_faced_10RA
i,away_pitcher_earned_run_avg_10RA
i,away_pitcher_SO_batters_faced_10RA
i,away_pitcher_H_batters_faced_10RA
i,away_pitcher_BB_batters_faced_10RA
s,home_team_season
s,away_team_season
i,home_team_errors_mean
i,home_team_errors_std
i,home_team_errors_skew
i,away_team_errors_mean
i,away_team_errors_std
i,away_team_errors_skew
i,home_team_spread_mean
i,home_team_spread_std
i,home_team_spread_skew
i,away_team_spread_mean
i,away_team_spread_std
i,away_team_spread_skew
i,home_team_wins_mean
i,home_team_wins_std
i,home_team_wins_skew
i,away_team_wins_mean
i,away_team_wins_std
i,away_team_wins_skew
i,home_batting_batting_avg_mean
i,home_batting_batting_avg_std
i,home_batting_batting_avg_skew
i,home_batting_onbase_perc_mean
i,home_batting_onbase_perc_std
i,home_batting_onbase_perc_skew
i,home_batting_onbase_plus_slugging_mean
i,home_batting_onbase_plus_slugging_std
i,home_batting_onbase_plus_slugging_skew
i,home_batting_leverage_index_avg_mean
i,home_batting_leverage_index_avg_std
i,home_batting_leverage_index_avg_skew
i,home_batting_wpa_bat_mean
i,home_batting_wpa_bat_std
i,home_batting_wpa_bat_skew
i,home_batting_RBI_mean
i,home_batting_RBI_std
i,home_batting_RBI_skew
i,away_batting_batting_avg_mean
i,away_batting_batting_avg_std
i,away_batting_batting_avg_skew
i,away_batting_onbase_perc_mean
i,away_batting_onbase_perc_std
i,away_batting_onbase_perc_skew
i,away_batting_onbase_plus_slugging_mean
i,away_batting_onbase_plus_slugging_std
i,away_batting_onbase_plus_slugging_skew
i,away_batting_leverage_index_avg_mean
i,away_batting_leverage_index_avg_std
i,away_batting_leverage_index_avg_skew
i,away_batting_wpa_bat_mean
i,away_batting_wpa_bat_std
i,away_batting_wpa_bat_skew
i,away_batting_RBI_mean
i,away_batting_RBI_std
i,away_batting_RBI_skew
i,home_pitching_earned_run_avg_mean
i,home_pitching_earned_run_avg_std
i,home_pitching_earned_run_avg_skew
i,home_pitching_SO_batters_faced_mean
i,home_pitching_SO_batters_faced_std
i,home_pitching_SO_batters_faced_skew
i,home_pitching_H_batters_faced_mean
i,home_pitching_H_batters_faced_std
i,home_pitching_H_batters_faced_skew
i,home_pitching_BB_batters_faced_mean
i,home_pitching_BB_batters_faced_std
i,home_pitching_BB_batters_faced_skew
i,home_pitching_leverage_index_avg_mean
i,home_pitching_leverage_index_avg_std
i,home_pitching_leverage_index_avg_skew
i,home_pitching_wpa_def_mean
i,home_pitching_wpa_def_std
i,home_pitching_wpa_def_skew
i,away_pitching_earned_run_avg_mean
i,away_pitching_earned_run_avg_std
i,away_pitching_earned_run_avg_skew
i,away_pitching_SO_batters_faced_mean
i,away_pitching_SO_batters_faced_std
i,away_pitching_SO_batters_faced_skew
i,away_pitching_H_batters_faced_mean
i,away_pitching_H_batters_faced_std
i,away_pitching_H_batters_faced_skew
i,away_pitching_BB_batters_faced_mean
i,away_pitching_BB_batters_faced_std
i,away_pitching_BB_batters_faced_skew
i,away_pitching_leverage_index_avg_mean
i,away_pitching_leverage_index_avg_std
i,away_pitching_leverage_index_avg_skew
i,away_pitching_wpa_def_mean
i,away_pitching_wpa_def_std
i,away_pitching_wpa_def_skew
i,home_pitcher_earned_run_avg_mean
i,home_pitcher_earned_run_avg_std
i,home_pitcher_earned_run_avg_skew
i,home_pitcher_SO_batters_faced_mean
i,home_pitcher_SO_batters_faced_std
i,home_pitcher_SO_batters_faced_skew
i,home_pitcher_H_batters_faced_mean
i,home_pitcher_H_batters_faced_std
i,home_pitcher_H_batters_faced_skew
i,home_pitcher_BB_batters_faced_mean
i,home_pitcher_BB_batters_faced_std
i,home_pitcher_BB_batters_faced_skew
i,home_pitcher_leverage_index_avg_mean
i,home_pitcher_leverage_index_avg_std
i,home_pitcher_leverage_index_avg_skew
i,home_pitcher_wpa_def_mean
i,home_pitcher_wpa_def_std
i,home_pitcher_wpa_def_skew
i,away_pitcher_earned_run_avg_mean
i,away_pitcher_earned_run_avg_std
i,away_pitcher_earned_run_avg_skew
i,away_pitcher_SO_batters_faced_mean
i,away_pitcher_SO_batters_faced_std
i,away_pitcher_SO_batters_faced_skew
i,away_pitcher_H_batters_faced_mean
i,away_pitcher_H_batters_faced_std
i,away_pitcher_H_batters_faced_skew
i,away_pitcher_BB_batters_faced_mean
i,away_pitcher_BB_batters_faced_std
i,away_pitcher_BB_batters_faced_skew
i,away_pitcher_leverage_index_avg_mean
i,away_pitcher_leverage_index_avg_std
i,away_pitcher_leverage_index_avg_skew
i,away_pitcher_wpa_def_mean
i,away_pitcher_wpa_def_std
i,away_pitcher_wpa_def_skew
